JobTitle,TechnicalSkills,Frameworks,VersionControl,SoftSkills,Tools
Radiology Informatics Specialist,"Data Analysis, Coding","PACS, DICOM, HL7",SVN,"Problem Solving, Team Collaboration","Lab Equipment, CAD Tools"
Research Assistant in Imaging,"Data Analysis, Coding","ImageJ, MATLAB, Python",Git,"Problem Solving, Adaptability","Lab Equipment, CAD Tools"
Image Acquisition Specialist,"Data Analysis, Electrical Design","DICOM, ImageJ, MATLAB",Git,"Team Collaboration, Problem Solving","Lab Equipment, CAD Tools"
Radiographic Technician,"Simulation, Electrical Design","DICOM, PACS, Image Acquisition Software",SVN,"Team Collaboration, Problem Solving","Diagnostic Systems, Lab Equipment"
Biomedical Image Scientist,"Data Analysis, Coding","ImageJ, MATLAB, COMSOL",SVN,"Team Collaboration, Problem Solving","CAD Tools, Lab Equipment"
Imaging Protocol Developer,"Data Analysis, Electrical Design","DICOM, MATLAB, PACS",SVN,"Adaptability, Problem Solving","Diagnostic Systems, CAD Tools"
Diagnostic Imaging Supervisor,"Product Development, Data Analysis","PACS, DICOM, Radiology Information Systems (RIS)",SVN,"Problem Solving, Team Collaboration","Lab Equipment, Diagnostic Systems"
Technical Support Specialist for Imaging Systems,"Data Analysis, Product Development","PACS, DICOM, Imaging System Software",Git,"Adaptability, Team Collaboration","Diagnostic Systems, Lab Equipment"
Medical Imaging Consultant,"Product Development, Data Analysis","DICOM, PACS, MATLAB",SVN,"Team Collaboration, Problem Solving","Lab Equipment, Diagnostic Systems"
Radiology Software Developer,"Coding, Product Development","Python, C++, DICOM",GitHub,"Team Collaboration, Adaptability","Lab Equipment, Diagnostic Systems"
Imaging Research Associate,"Simulation, Coding","MATLAB, Python, COMSOL",GitHub,"Problem Solving, Team Collaboration","CAD Tools, Diagnostic Systems"
Preclinical Imaging Specialist,"Data Analysis, Coding","ImageJ, MATLAB, DICOM",SVN,"Problem Solving, Adaptability","CAD Tools, Diagnostic Systems"
3D Imaging Specialist,"Simulation, Product Development","CT/MRI Software, 3D Rendering Software, ImageJ",SVN,"Problem Solving, Adaptability","Diagnostic Systems, Lab Equipment"
Vascular Imaging Technologist,"Product Development, Data Analysis","Ultrasound, MRI, DICOM",SVN,"Problem Solving, Team Collaboration","Diagnostic Systems, Lab Equipment"
Bone Densitometry Technologist,"Product Development, Coding","DEXA Systems, GE Healthcare DEXA, Hologic DEXA",Git,"Problem Solving, Team Collaboration","CAD Tools, Lab Equipment"
Radiopharmaceutical Technologist,"Electrical Design, Data Analysis","PET, SPECT, DICOM",GitHub,"Adaptability, Problem Solving","Diagnostic Systems, CAD Tools"
Digital Imaging Technician,"Data Analysis, Coding","ImageJ, DICOM, Photoshop",GitHub,"Adaptability, Problem Solving","Lab Equipment, CAD Tools"
Optical Imaging Scientist,"Electrical Design, Coding","MATLAB, COMSOL, ImageJ",GitHub,"Adaptability, Team Collaboration","CAD Tools, Lab Equipment"
Image Quality Analyst,"Coding, Data Analysis","ImageJ, Photoshop, MATLAB",GitHub,"Problem Solving, Adaptability","Diagnostic Systems, Lab Equipment"
Clinical Imaging Specialist,"Coding, Electrical Design","MRI Systems, Ultrasound, DICOM",SVN,"Adaptability, Team Collaboration","Lab Equipment, CAD Tools"
Biomedical Researcher in Imaging,"Data Analysis, Simulation","ImageJ, MATLAB, Python",GitHub,"Team Collaboration, Adaptability","CAD Tools, Diagnostic Systems"
Imaging Education Coordinator,"Electrical Design, Simulation","DICOM, MATLAB, OsiriX",SVN,"Adaptability, Team Collaboration","Diagnostic Systems, CAD Tools"
Computational Imaging Scientist,"Simulation, Electrical Design","MATLAB, Python (OpenCV), ImageJ",SVN,"Team Collaboration, Problem Solving","Lab Equipment, CAD Tools"
Health Informatics Specialist,"Coding, Electrical Design","EHR Systems, HL7, DICOM",Git,"Team Collaboration, Adaptability","Diagnostic Systems, Lab Equipment"
Advanced Imaging Technician,"Coding, Product Development","Imaging Systems Software, DICOM, PACS",GitHub,"Adaptability, Problem Solving","CAD Tools, Lab Equipment"
Radiology Product Manager,"Data Analysis, Electrical Design","PACS, RIS, DICOM",SVN,"Problem Solving, Team Collaboration","Lab Equipment, Diagnostic Systems"
Imaging Systems Sales Engineer,"Product Development, Electrical Design","Salesforce, HubSpot, Microsoft Dynamics CRM",SVN,"Problem Solving, Adaptability","CAD Tools, Diagnostic Systems"
Telemedicine Imaging Specialist,"Electrical Design, Data Analysis","DICOM, PACS, Zoom",GitHub,"Adaptability, Team Collaboration","Lab Equipment, CAD Tools"
AI Imaging Specialist,"Product Development, Electrical Design","TensorFlow, PyTorch, OpenCV",Git,"Adaptability, Problem Solving","Lab Equipment, Diagnostic Systems"
Forensic Imaging Technician,"Simulation, Product Development","ImageJ, MATLAB, Photoshop",GitHub,"Problem Solving, Adaptability","Diagnostic Systems, CAD Tools"
Radiology Educator,"Data Analysis, Electrical Design","DICOM, MATLAB, PACS",GitHub,"Problem Solving, Team Collaboration","CAD Tools, Lab Equipment"
